3M                                                     94  MAPLEWOOD           MN55144     91584   
DISH NETWORK                                           186 ENGLEWOOD           CO80112     16000   
DISNEY                                                 52  BURBANK             CA91521     195000  
DOLLAR GENERAL                                         128 GOODLETTSVILLE      TN37072     121000  
DOLLAR TREE                                            136 CHESAPEAKE          VA23320     116050  
DOMINION RESOURCES                                     238 RICHMOND            VA23219     16200   
DOVER                                                  392 DOWNERS GROVE       IL60515     29000   
DOW CHEMICAL                                           62  MIDLAND             MI48674     56000   
DR PEPPER SNAPPLE GROUP                                416 PLANO               TX75024     20000   
DTE ENERGY                                             272 DETROIT             MI48226     10000   
DUKE ENERGY                                            121 CHARLOTTE           NC28202     28798   
DUPONT                                                 113 WILMINGTON          DE19898     46000   
EASTMAN CHEMICAL                                       309 KINGSPORT           TN37660     14000   
EBAY                                                   310 SAN JOSE            CA95125     12600   
ECOLAB                                                 211 SAINT PAUL          MN55102     47565   
EDISON INTERNATIONAL                                   235 ROSEMEAD            CA91770     12390   
ELI LILLY                                              132 INDIANAPOLIS        IN46285     41975   
EMCOR GROUP                                            360 NORWALK             CT6851      31000   
EMERSON ELECTRIC                                       139 SAINT LOUIS         MO63136     103500  
ENERGY TRANSFER EQUITY                                 79  DALLAS              TX75225     30992   
ENTERGY                                                263 NEW ORLEANS         LA70113     13513   
ENTERPRISE PRODUCTS PARTNERS                           122 HOUSTON             TX77002     6800    
EOG RESOURCES                                          356 HOUSTON             TX77002     2650    
ERIE INSURANCE GROUP                                   382 ERIE                PA16530     4988    
ESSENDANT                                              487 DEERFIELD           IL60015     6600    
ESTEE LAUDER                                           253 NEW YORK            NY10153     46000   
EVERSOURCE ENERGY                                      358 SPRINGFIELD         MA1104      7762    
EXELON                                                 89  CHICAGO             IL60603     34396   
EXPEDIA                                                317 BELLEVUE            WA98004     20075   
EXPEDITORS INTERNATIONAL OF WASHINGTON                 429 SEATTLE             WA98104     16000   
EXPRESS SCRIPTS HOLDING                                22  SAINT LOUIS         MO63121     25600   
EXXON MOBIL                                            4   IRVING              TX75039     72700   
FACEBOOK                                               98  MENLO PARK          CA94025     17048   
FANNIE MAE                                             20  WASHINGTON          DC20016     7000    
FARMERS INSURANCE EXCHANGE                             222 LOS ANGELES         CA90010     13309   
FEDEX                                                  58  MEMPHIS             TN38120     335767  
FIDELITY NATIONAL FINANCIAL                            293 JACKSONVILLE        FL32204     55219   
FIDELITY NATIONAL INFORMATION SERVICES                 301 JACKSONVILLE        FL32204     55000   
FIFTH THIRD BANCORP                                    389 CINCINNATI          OH45263     17844   
FIRST AMERICAN FINANCIAL                               464 SANTA ANA           CA92707     19531   
FIRST DATA                                             242 ATLANTA             GA30342     24000   
FIRSTENERGY                                            196 AKRON               OH44308     15707   
FISERV                                                 471 BROOKFIELD          WI53405     23000   
FLUOR                                                  149 IRVING              TX75039     61551   
FOOT LOCKER                                            348 NEW YORK            NY10120     32965   
FORD MOTOR                                             10  DEARBORN            MI48126     201000  
FRANKLIN RESOURCES                                     405 SAN MATEO           CA94403     9059    
FREDDIE MAC                                            39  MCLEAN              VA22102     5982    
FREEPORT-MCMORAN                                       175 PHOENIX             AZ85004     30000   
FRONTIER COMMUNICATIONS                                313 NORWALK             CT6851      28332   
GAMESTOP                                               321 GRAPEVINE           TX76051     41750   
GAP                                                    178 SAN FRANCISCO       CA94105     135000  
GENERAL DYNAMICS                                       90  FALLS CHURCH        VA22042     98800   
GENERAL ELECTRIC                                       13  FAIRFIELD           CT6828      295000  
GENERAL MILLS                                          165 MINNEAPOLIS         MN55426     39000   
GENERAL MOTORS                                         8   DETROIT             MI48265     225000  
GENESIS HEALTHCARE                                     454 KENNETT SQUARE      PA19348     82000   
GENUINE PARTS                                          180 ATLANTA             GA30339     40000   
GENWORTH FINANCIAL                                     329 RICHMOND            VA23230     3400    
GILEAD SCIENCES                                        92  FOSTER CITY         CA94404     9000    
GLOBAL PARTNERS                                        334 WALTHAM             MA2453      1770    
GOLDMAN SACHS GROUP                                    78  NEW YORK            NY10282     34400   
GOODYEAR TIRE & RUBBER                                 184 AKRON               OH44316     66000   
GRAYBAR ELECTRIC                                       420 SAINT LOUIS         MO63105     8500    
GROUP 1 AUTOMOTIVE                                     261 HOUSTON             TX77024     13500   
GUARDIAN LIFE INS. CO. OF AMERICA                      218 NEW YORK            NY10004     8876    
HALLIBURTON                                            173 HOUSTON             TX77032     50000   
HANESBRANDS                                            432 WINSTON-SALEM       NC27105     67800   
HARLEY-DAVIDSON                                        435 MILWAUKEE           WI53208     6000    
HARMAN INTERNATIONAL INDUSTRIES                        386 STAMFORD            CT6901      26000   
HARRIS                                                 363 MELBOURNE           FL32919     21000   
HARTFORD FINANCIAL SERVICES GROUP                      153 HARTFORD            CT6155      16900   
HCA HOLDINGS                                           63  NASHVILLE           TN37203     210500  
HD SUPPLY HOLDINGS                                     364 ATLANTA             GA30339     14000   
HENRY SCHEIN                                           243 MELVILLE            NY11747     21000   
HERSHEY                                                369 HERSHEY             PA17033     17140   
HERTZ GLOBAL HOLDINGS                                  296 ESTERO              FL33928     36000   
HEWLETT PACKARD ENTERPRISE                             59  PALO ALTO           CA94304     195000  
HILTON WORLDWIDE HOLDINGS                              241 MCLEAN              VA22102     169000  
HOLLYFRONTIER                                          274 DALLAS              TX75201     2676    
HOME DEPOT                                             23  ATLANTA             GA30339     406000  
HONEYWELL INTERNATIONAL                                73  MORRIS TOWNSHIP     NJ7962      131000  
HORMEL FOODS                                           295 AUSTIN              MN55912     21100   
HOST HOTELS & RESORTS                                  472 BETHESDA            MD20817     220000  
HP                                                     61  PALO ALTO           CA94304     49000   
HRG GROUP                                              418 NEW YORK            NY10022     16021   
HUMANA                                                 53  LOUISVILLE          KY40202     51600   
HUNTINGTON INGALLS INDUSTRIES                          380 NEWPORT NEWS        VA23607     37000   
HUNTSMAN                                               289 SALT LAKE CITY      UT84108     15000   
IBM                                                    32  ARMONK              NY10504     414400  
ICAHN ENTERPRISES                                      168 NEW YORK            NY10153     90980   
IHEARTMEDIA                                            426 SAN ANTONIO         TX78209     18700   
